#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent
,,,,,,,,,,,,
,"
North America
","131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062","6,095",,,North America
,"
Asia
","221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,Asia
,"
Europe
","253,406,198",,"2,101,824",,"248,754,104",+474,"2,550,270","4,453",,,Europe
,"
South America
","70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,South America
,"
Oceania
","14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,Australia/Oceania
,"
Africa
","12,860,924",,"258,892",,"12,090,808",,"511,224",529,,,Africa
,"

",721,,15,,706,,0,0,,,
101,Kenya,"344,130",,"5,689                                ",,"337,309",,"1,132",N/A,"3,967,062","56,215,221 ",Africa
102,Brunei ,"343,719",,225                                ,,"243,601",,"99,893",3,"717,784","445,431 ",Asia
103,Albania,"334,863",,"3,605                                ",,"330,233",,"1,025",,"1,941,032","2,866,374 ",Europe
104,Botswana,"330,638",,"2,801                                ",,"327,049",,788,1,"2,026,898","2,441,162 ",Africa
105,Montenegro,"296,542",,"2,846                                ",,"291,794",,"1,902",N/A,"2,769,281","627,950 ",Europe
106,Algeria,"272,010",,"6,881                                ",,"183,061",,"82,068",,"230,960","45,350,148 ",Africa
107,Nigeria,"267,188",,"3,155                                ",,"259,953",,"4,080",11,"5,708,974","216,746,934 ",Africa
108,Zimbabwe,"266,359",,"5,740                                ",,"258,888",,"1,731",12,"2,525,756","15,331,428 ",Africa
109,Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",23,"1,377,915","34,382,084 ",Asia
110,Afghanistan,"234,174",,"7,996                                ",,"211,080",,"15,098",,"1,390,730","40,754,388 ",Asia
111,Mozambique,"233,731",,"2,250                                ",,"228,805",,"2,676",11,"1,371,127","33,089,461 ",Africa
112,Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,N/A,"828,928","374,087 ",North America
113,Laos,"218,970",,758                                ,,N/A,N/A,N/A,,"1,233,207","7,481,023 ",Asia
114,Iceland,"209,906",,229                                ,,N/A,N/A,N/A,,"1,996,384","345,393 ",Europe
115,Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",131,"1,907,195","6,728,271 ",Asia
116,Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,N/A,"938,039","399,794 ",North America
117,El Salvador,"201,855",,"4,230                                ",,"179,410",,"18,215",,"2,610,114","6,550,389 ",North America
118,Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,N/A,"913,289","1,406,585 ",North America
119,Maldives,"186,694",,316                                ,,"163,687",,"22,691",25,"2,213,831","540,985 ",Asia
120,Namibia,"172,389",,"4,106                                ",,"167,099",,"1,184",,"1,062,663","2,633,874 ",Africa
121,Uganda,"172,149",,"3,632                                ",,"100,431",,"68,086",,"3,012,408","48,432,863 ",Africa
122,Ghana,"171,889",,"1,462                                ",,"170,425",,2,,"2,541,625","32,395,450 ",Africa
123,Jamaica,"156,869",,"3,756                                ",,N/A,N/A,N/A,,"1,183,986","2,985,094 ",North America
124,Cambodia,"139,103",,"3,056                                ",,"136,044",,3,,"3,091,420","17,168,639 ",Asia
125,Rwanda,"133,518",,"1,468                                ",,"132,039",,11,,"6,021,981","13,600,464 ",Africa
